address,allocation,withdrawn,created,cliff,expiration,latestVotingPower,delegatee,rangeStart,rangeEnd
0xd3Ff56d0f96C94b70BbdF4c3f9855F28A2B0E407,833333.270833,0.0,1680307199,1680307199,1743465599,41666.66354165,0xd3Ff56d0f96C94b70BbdF4c3f9855F28A2B0E407,0.0,0.0
0x548d993BDda290C1933c472Ec1901F5d2F4B9E04,833333.270833,0.0,1680307199,1680307199,1743465599,41666.66354165,0x548d993BDda290C1933c472Ec1901F5d2F4B9E04,0.0,0.0
0x2286bb67635eb57E4C5176a2957103bdB067aBA8,781249.258,0.0,1680307199,1680307199,1743465599,39062.4629,0x2286bb67635eb57E4C5176a2957103bdB067aBA8,0.0,0.0
0xF4EC9254200d67D2C9dDb73A90e2f5E05676c517,781249.258,0.0,1680307199,1680307199,1743465599,39062.4629,0xF4EC9254200d67D2C9dDb73A90e2f5E05676c517,0.0,0.0
0x31422aeF08Dc2d9B8F09ce203990574f2064a3F3,4188503.391,0.0,1680307199,1680307199,1743465599,209425.16955,0x31422aeF08Dc2d9B8F09ce203990574f2064a3F3,0.0,0.0
0xD1cd9F81b0c7CDe872215D27DAb34E5D1eD1feC5,1811495.8,0.0,1680307199,1680307199,1743465599,90574.79,0xD1cd9F81b0c7CDe872215D27DAb34E5D1eD1feC5,0.0,0.0
0x475d753441eE9b4143917c21e2b74416162ae053,4312499.403,0.0,1680307199,1680307199,1743465599,215624.97015,0x475d753441eE9b4143917c21e2b74416162ae053,0.0,0.0
0x89440FbA621A627420450B06A6A68281c62255Ae,593749.0625,0.0,1680307199,1680307199,1743465599,29687.453125,0x9eC27e293d8896485D2cD592F9E4b6f26161451D,0.0,0.0
0x9aDBbb05cD4F1cD5288564bD192e73499BC246cD,624687.281299999,0.0,1680307199,1680307199,1743465599,31234.36406499995,0x9eC27e293d8896485D2cD592F9E4b6f26161451D,0.0,0.0
0xA399882C11D3cfA62dBC4D66eAf41A943b29cd3B,312499.7031,0.0,1680307199,1680307199,1743465599,15624.985155,0xA399882C11D3cfA62dBC4D66eAf41A943b29cd3B,0.0,0.0
0x82261c297f24A8c89d6c9877297f4E2706c18a55,625000.0,0.0,1680307199,1680307199,1743465599,31250.0,0x82261c297f24A8c89d6c9877297f4E2706c18a55,0.0,0.0
0x1D4296C4F14cC5edCeB206F7634Ae05c3bFc3CB7,625000.0,0.0,1680307199,1680307199,1743465599,31250.0,0x1D4296C4F14cC5edCeB206F7634Ae05c3bFc3CB7,0.0,0.0
0xe07c444A769b735cc84875f1EE67e8Ba54393014,156246.7938,0.0,1680307199,1680307199,1743465599,7812.33969,0xe07c444A769b735cc84875f1EE67e8Ba54393014,0.0,0.0
0xf7d74a3E2295A860CDD88b901940B367737E8A8F,593746.76875,0.0,1680307199,1680307199,1743465599,29687.3384375,0xf7d74a3E2295A860CDD88b901940B367737E8A8F,0.0,0.0
0x58e2faCfd11C74932d838418785aa4Ba36dc33Bc,187498.71875,0.0,1680307199,1680307199,1743465599,9374.9359375,0x58e2faCfd11C74932d838418785aa4Ba36dc33Bc,0.0,0.0
0x114b8D7Ab033E650003fa3Fc72C5Ba2d0FD18345,499999.975,0.0,1680307199,1680307199,1743465599,24999.99875,0x114b8D7Ab033E650003fa3Fc72C5Ba2d0FD18345,0.0,0.0
0x0Fc7148e78Dd0cf135b9127D48Dc91C0E898F4a9,187500.0,0.0,1680307199,1680307199,1743465599,9375.0,0x0Fc7148e78Dd0cf135b9127D48Dc91C0E898F4a9,0.0,0.0
0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f,65621.265625,0.0,1680307199,1680307199,1743465599,3281.06328125,0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f,0.0,0.0
0x3f433647318b3f704BC4A4125c9C59d69FA12Bfc,31249.359375,0.0,1680307199,1680307199,1743465599,1562.46796875,0x9B338FdDc58A3A28042ff3Fc9Ae3eCbcFE0de267,0.0,0.0
0xDB0c22361afA298A01BC83B6535c6fe70fBa3398,23746.0875,0.0,1680307199,1680307199,1743465599,1187.304375,0xDB0c22361afA298A01BC83B6535c6fe70fBa3398,0.0,0.0
0x09aa3c7CBF9c0c3eA9B1Beb6Ebe97D36DcA8c6c1,62498.71875,0.0,1680307199,1680307199,1743465599,3124.9359375,0x09aa3c7CBF9c0c3eA9B1Beb6Ebe97D36DcA8c6c1,0.0,0.0
0x0f89D54B02ca570dE82F770D33c7B7Cf7b3C3394,15624.68125,0.0,1680307199,1680307199,1743465599,781.2340625,0x0f89D54B02ca570dE82F770D33c7B7Cf7b3C3394,0.0,0.0
0x42f9134E9d3Bf7eEE1f8A5Ac2a4328B059E7468c,7809.28125,0.0,1680307199,1680307199,1743465599,390.4640625,0x42f9134E9d3Bf7eEE1f8A5Ac2a4328B059E7468c,0.0,0.0
0xc5614f397051E6Db3bFAbf9813C6C9b57f232783,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0xc5614f397051E6Db3bFAbf9813C6C9b57f232783,0.0,0.0
0x55411a197155108641Df947b745916787439368E,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0x55411a197155108641Df947b745916787439368E,0.0,0.0
0x4a7C6899cdcB379e284fBFD045462e751DA4C7cE,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0x4a7C6899cdcB379e284fBFD045462e751DA4C7cE,0.0,0.0
0x0F7573549f837fBFb06e71B372Ea3d457844e481,15624.68125,0.0,1680307199,1680307199,1743465599,781.2340625,0x0F7573549f837fBFb06e71B372Ea3d457844e481,0.0,0.0
0x24b8b6e21E0EE7caE674a64983D3d03997007FaA,15624.68125,0.0,1680307199,1680307199,1743465599,781.2340625,0x24b8b6e21E0EE7caE674a64983D3d03997007FaA,0.0,0.0
0x3A38865b3C9d87D96BFD4Ba75E88326B8ff5b522,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0x3A38865b3C9d87D96BFD4Ba75E88326B8ff5b522,0.0,0.0
0xe016ec54349E1Fdc09C86878F25760ED317a7911,7809.28125,0.0,1680307199,1680307199,1743465599,390.4640625,0xe016ec54349E1Fdc09C86878F25760ED317a7911,0.0,0.0
0x4d4f85480b6D75799DC5Daa7b9029b9684c1c5Fc,7809.28125,0.0,1680307199,1680307199,1743465599,390.4640625,0x4d4f85480b6D75799DC5Daa7b9029b9684c1c5Fc,0.0,0.0
0xd352d9ECaB5114d617caB778F4b28CfCEC3988eA,3904.640625,0.0,1680307199,1680307199,1743465599,195.23203125,0xd352d9ECaB5114d617caB778F4b28CfCEC3988eA,0.0,0.0
0xDA46892a65820d354D670e3666528595BA03025D,3904.640625,0.0,1680307199,1680307199,1743465599,195.23203125,0xDA46892a65820d354D670e3666528595BA03025D,0.0,0.0
0xfe78Fa483dABa058C02db8506636bf247773D605,7809.28125,0.0,1680307199,1680307199,1743465599,390.4640625,0xfe78Fa483dABa058C02db8506636bf247773D605,0.0,0.0
0x554c5aF96E9e3c05AEC01ce18221d0DD25975aB4,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0x554c5aF96E9e3c05AEC01ce18221d0DD25975aB4,0.0,0.0
0xF5dC9a96cD6695A5760D63dc6b4c91A8A8ABC1Fc,3121.265625,0.0,1680307199,1680307199,1743465599,156.06328125,0xF5dC9a96cD6695A5760D63dc6b4c91A8A8ABC1Fc,0.0,0.0
